actor,obligation,label
AuthorisedRepresentative,ob_AuthRepTasks,Authorised representative mandate tasks
Deployer,ob_DeployerHumanOversight,Deployer human oversight obligation
Distributor,ob_DistributorVerification,Distributor verification
Importer,ob_ImporterConformity,Importer conformity verification
Provider,ob_RiskManagement,Risk management obligation
Provider,ob_DataGovernance,Data and data governance obligation
Provider,ob_TechnicalDocumentation,Technical documentation obligation
Provider,ob_RecordKeeping,Record-keeping (logging) obligation
Provider,ob_ProviderTransparency,Transparency and provision of information to deployers
Provider,ob_HumanOversightDesign,Human oversight (design) obligation
Provider,ob_AccuracyRobustness,"Accuracy, robustness and cybersecurity obligation"
Provider,ob_PostMarketMonitoring,Post-market monitoring obligation
